Checked,Protein FDR Confidence Combined,Master,Accession,Description,Exp q-value Combined,Sum PEP Score,Coverage in Percent,Number of Peptides,Number of PSMs,Number of Unique Peptides,Number of AAs,MW in kDa,calc pI,Score Sequest HT Sequest HT,Number of Peptides by Search Engine Sequest HT,Number of Razor Peptides,Abundances Scaled F3 Sample,Abundances Scaled F4 Sample,Found in Sample in S3 F3 Sample,Found in Sample in S4 F4 Sample,Number of Protein Groups,Modifications
FALSE,High,IsMasterProtein,A0A096UL77,14_3_3 domain-containing protein OS=Triticum aestivum OX=4565 GN=CAMPLR22A2D_LOCUS3277 PE=3 SV=1,0,15.785,24,5,9,1,263,29.9,4.74,17.05,5,2,200,,High,Not Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6TRP9,14_3_3 domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,17.957,24,4,8,3,261,28.8,4.84,16.46,4,0,200,,High,Not Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6EBZ6,14_3_3 domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,18.072,24,5,11,1,262,29.7,4.74,22.27,5,0,152.8,47.2,High,Peak Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,L0GED8,14-3-3 protein OS=Triticum aestivum OX=4565 GN=14R2 PE=2 SV=1,0,46.265,48,10,27,8,261,29.2,4.88,75.71,10,3,194.4,5.6,High,Peak Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,Q41560,16.9 kDa class I heat shock protein 2 OS=Triticum aestivum OX=4565 GN=hsp16.9B PE=1 SV=1,0,7.94,32,3,5,1,151,16.9,6.61,10.2,3,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,Q6W8Q2,1-Cys peroxiredoxin PER1 OS=Triticum aestivum OX=4565 GN=PER1 PE=2 SV=1,0,61.084,55,12,53,1,218,24,6.54,117.93,12,0,154.5,45.5,High,Peak Found,1,Met-loss [N-Term]
FALSE,High,IsMasterProtein,A0A3B6RK71,26S proteasome non-ATPase regulatory subunit 2 homolog OS=Triticum aestivum OX=4565 PE=3 SV=1,0,3.16,2,1,1,1,817,89.6,6.9,5.07,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6SF08,2Fe-2S ferredoxin-type domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,2.379,8,1,1,1,179,19.4,5.24,2.13,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6DN32,3-isopropylmalate dehydrogenase OS=Triticum aestivum OX=4565 PE=3 SV=1,0.003,1.751,4,1,1,1,398,41.9,6.11,1.77,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6C521,40S ribosomal protein S12 OS=Triticum aestivum OX=4565 PE=3 SV=1,0,2.67,13,1,1,1,143,15.2,5.52,3.27,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A341Z8D2,4-hydroxy-4-methyl-2-oxoglutarate aldolase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,3.828,14,2,2,2,168,17.9,5.88,4.9,2,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6I6K2,"6-phosphogluconate dehydrogenase, decarboxylating OS=Triticum aestivum OX=4565 PE=3 SV=1",0,13.987,12,5,7,5,504,55.5,6.39,15.56,5,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6DIC9,AA_permease_C domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0.003,1.762,2,1,1,1,595,62.8,8.82,1.83,1,0,200,,High,Not Found,1,Met-loss [N-Term]
FALSE,High,IsMasterProtein,A0A3B5ZW19,AA_TRNA_LIGASE_II domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,13.519,15,4,5,1,436,49.3,7.31,12.45,4,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6GZ62,AA_TRNA_LIGASE_II domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,14.019,13,4,4,1,505,57.4,6.48,11.35,4,3,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6KGM6,AA_TRNA_LIGASE_II domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,10.505,14,4,6,2,546,60.9,6.34,12.08,4,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6LK94,AA_TRNA_LIGASE_II domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,11.2,14,4,6,2,548,61.1,6.11,12.51,4,3,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B5ZRV5,AA_TRNA_LIGASE_II domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,8.379,5,3,5,3,885,94.9,5.86,10.74,3,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6PQS8,AA_TRNA_LIGASE_II domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,6.176,5,2,2,2,488,55.2,6.25,5.62,2,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6LM72,AA_TRNA_LIGASE_II domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,9.037,9,3,3,3,498,56.5,6.64,7.63,3,0,174.4,25.6,High,Peak Found,1,
FALSE,High,IsMasterProtein,A0A3B6TNA6,AAA domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,1.992,1,1,2,1,1489,166.5,6.24,5.23,1,0,,,High,Not Found,1,
FALSE,Medium,IsMasterProtein,A0A3B6FJR0,AAA domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0.012,1.289,3,1,1,1,836,93.3,7.97,0,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A077RXR8,AAI domain-containing protein OS=Triticum aestivum OX=4565 GN=TRAES_3BF077200050CFD_c1 PE=4 SV=1,0.003,1.662,12,1,1,1,110,11.1,9.36,1.93,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6PE52,AAI domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,2.295,10,1,1,1,145,15.9,7.14,2.22,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A1D5UB33,AAI domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,5.967,12,2,4,2,195,21.5,8.4,8.92,2,0,200,,High,Not Found,1,
FALSE,Medium,IsMasterProtein,A0A3B6UA86,AAI domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0.012,1.242,12,1,1,1,93,9.5,8.13,0,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6KQR9,AAI domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,6.068,34,2,3,1,62,6.9,8.92,4.72,2,0,192.8,7.2,High,Peak Found,1,
FALSE,High,IsMasterProtein,A0A3B6H3I8,AAI domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,3.357,20,1,1,1,106,10.5,8.06,2.93,1,0,164.3,35.7,High,Peak Found,1,
FALSE,High,IsMasterProtein,A0A3B6HP22,AAI domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,2.609,9,1,2,1,121,13.8,9.14,2.29,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6UA79,AAI domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,2.166,14,1,2,1,95,10.2,7.61,4.53,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6LND2,Aamy domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,4.396,4,2,2,2,776,86.2,6.6,4.78,2,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6RDW2,AB hydrolase-1 domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0.003,1.778,3,1,1,1,518,57.4,7.15,2.18,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6SHV8,AB hydrolase-1 domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,2.621,3,1,1,1,322,35.4,6.39,2.3,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,Q7XAP5,ABA inducible protein OS=Triticum aestivum OX=4565 GN=Wrab18 PE=2 SV=1,0,43.933,56,9,17,2,169,17.5,6.23,51.83,9,4,41.9,158.1,High,Peak Found,1,Met-loss+Acetyl [N-Term]
FALSE,Medium,IsMasterProtein,A0A3B6GQ38,Abhydrolase_2 domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0.012,1.292,5,1,1,1,256,27,6.52,0,1,0,200,,High,Not Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6LGL7,Abhydrolase_3 domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0.003,1.821,6,1,1,1,311,32.9,5.27,1.84,1,0,200,,High,Not Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6TLY2,Abhydrolase_3 domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0.006,1.466,4,1,1,1,315,33.6,5.8,0,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6I0D2,ACB domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,4.714,16,2,2,2,93,10.3,5.01,4.54,2,0,200,,High,Not Found,1,Met-loss [N-Term]
FALSE,High,IsMasterProtein,A0A3B6NJ70,Acetyltransferase component of pyruvate dehydrogenase complex OS=Triticum aestivum OX=4565 PE=3 SV=1,0,2.898,4,1,1,1,532,57.1,8.15,2.96,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6RK08,Acetyltransferase component of pyruvate dehydrogenase complex OS=Triticum aestivum OX=4565 PE=3 SV=1,0.003,1.719,3,1,1,1,442,47.7,5.78,2.06,1,0,200,,High,Not Found,1,
