"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Razor Peptides"	"Abundances Scaled F1 Sample"	"Abundances Scaled F2 Sample"	"Found in Sample in S1 F1 Sample"	"Found in Sample in S2 F2 Sample"	"Number of Protein Groups"	"Modifications"
"False"	"High"	"IsMasterProtein"	"ENOG503GCMT"	"ENOG503GCMT"	"0.000"	"2758.386"	"72"	"194"	"1663"	"194"	"2537"	"271.4"	"6.49"	"5432.67"	"194"	"0"	"117.8"	"82.2"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GJA6"	"ENOG503GJA6"	"0.000"	"2381.849"	"77"	"186"	"1722"	"186"	"2196"	"220.9"	"8.57"	"5794.30"	"186"	"0"	"112.3"	"87.7"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GAIC"	"ENOG503GAIC"	"0.000"	"1573.110"	"86"	"104"	"1270"	"104"	"2783"	"282.4"	"4.93"	"4615.82"	"104"	"0"	"133.6"	"66.4"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GCED"	"ENOG503GCED"	"0.000"	"988.311"	"49"	"110"	"491"	"110"	"3332"	"341.9"	"5.01"	"1694.12"	"110"	"0"	"97.4"	"102.6"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GK7S"	"ENOG503GK7S"	"0.000"	"853.359"	"29"	"74"	"501"	"74"	"7021"	"705.0"	"9.63"	"1613.49"	"74"	"0"	"90.3"	"109.7"	"High"	"High"	"1"	"Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG503GAQN"	"ENOG503GAQN"	"0.000"	"788.018"	"23"	"89"	"484"	"86"	"30517"	"3355.6"	"6.07"	"1514.33"	"89"	"3"	"113.8"	"86.2"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GQCJ"	"ENOG503GQCJ"	"0.000"	"614.691"	"62"	"50"	"414"	"50"	"902"	"92.3"	"5.92"	"1389.33"	"50"	"0"	"115.5"	"84.5"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG503GSFG"	"ENOG503GSFG"	"0.000"	"600.059"	"25"	"59"	"673"	"59"	"3422"	"376.4"	"8.48"	"2030.88"	"59"	"0"	"141.8"	"58.2"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503G8BD"	"ENOG503G8BD"	"0.000"	"583.865"	"6"	"65"	"328"	"62"	"43236"	"4740.1"	"8.13"	"1102.50"	"65"	"3"	"118.8"	"81.2"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GS3P"	"ENOG503GS3P"	"0.000"	"583.226"	"80"	"42"	"318"	"42"	"623"	"63.6"	"8.82"	"1212.03"	"42"	"0"	"101.8"	"98.2"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG503GBXP"	"ENOG503GBXP"	"0.000"	"550.999"	"72"	"55"	"339"	"55"	"1509"	"169.0"	"7.90"	"1069.83"	"55"	"0"	"135.7"	"64.3"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG503G7QA"	"ENOG503G7QA"	"0.000"	"541.980"	"30"	"71"	"283"	"71"	"27623"	"3058.7"	"5.54"	"884.40"	"71"	"0"	"109.8"	"90.2"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GAA6"	"ENOG503GAA6"	"0.000"	"480.188"	"14"	"74"	"248"	"74"	"17054"	"1916.0"	"6.77"	"765.21"	"74"	"0"	"94.8"	"105.2"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GBJG"	"ENOG503GBJG"	"0.000"	"466.395"	"13"	"85"	"194"	"85"	"23651"	"2535.9"	"7.53"	"576.49"	"85"	"0"	"95.4"	"104.6"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GKDZ"	"ENOG503GKDZ"	"0.000"	"450.971"	"42"	"48"	"167"	"36"	"2415"	"250.9"	"9.13"	"559.25"	"48"	"14"	"61.6"	"138.4"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG503GAU6"	"ENOG503GAU6"	"0.000"	"439.055"	"76"	"37"	"561"	"37"	"439"	"48.3"	"7.11"	"1711.94"	"37"	"0"	"123.1"	"76.9"	"High"	"High"	"1"	"Met-loss [N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG503GVP5"	"ENOG503GVP5"	"0.000"	"425.461"	"22"	"34"	"307"	"34"	"5203"	"594.2"	"8.27"	"964.57"	"34"	"0"	"131.6"	"68.4"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503G8GD"	"ENOG503G8GD"	"0.000"	"373.516"	"67"	"38"	"180"	"38"	"1320"	"140.6"	"5.54"	"603.00"	"38"	"0"	"117.9"	"82.1"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GT0B"	"ENOG503GT0B"	"0.000"	"370.899"	"61"	"40"	"244"	"40"	"1649"	"179.1"	"8.09"	"748.18"	"40"	"0"	"141.8"	"58.2"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503G8FG"	"ENOG503G8FG"	"0.000"	"353.629"	"36"	"50"	"180"	"46"	"5431"	"584.7"	"5.97"	"584.00"	"50"	"5"	"108.9"	"91.1"	"High"	"High"	"1"	""
