"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Razor Peptides"	"Abundances Scaled F3 Sample"	"Abundances Scaled F4 Sample"	"Found in Sample in S3 F3 Sample"	"Found in Sample in S4 F4 Sample"	"Number of Protein Groups"	"Modifications"
"False"	"High"	"IsMasterProtein"	"ENOG503GKDZ"	"ENOG503GKDZ"	"0.000"	"261.582"	"34"	"39"	"120"	"31"	"2415"	"250.9"	"9.13"	"375.50"	"39"	"9"	"67.7"	"132.3"	"High"	"Peak Found"	"1"	"Met-loss+Acetyl [N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG503GKDC"	"ENOG503GKDC"	"0.000"	"156.534"	"58"	"30"	"250"	"24"	"754"	"81.1"	"9.04"	"616.70"	"30"	"7"	"62.9"	"137.1"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GAQN"	"ENOG503GAQN"	"0.000"	"143.427"	"12"	"35"	"98"	"34"	"30517"	"3355.6"	"6.07"	"229.43"	"35"	"1"	"199.0"	"1.0"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GAIC"	"ENOG503GAIC"	"0.000"	"142.857"	"38"	"32"	"95"	"32"	"2783"	"282.4"	"4.93"	"239.89"	"32"	"0"	"122.7"	"77.3"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GJA6"	"ENOG503GJA6"	"0.000"	"113.068"	"34"	"30"	"44"	"30"	"2196"	"220.9"	"8.57"	"123.26"	"30"	"0"	"134.0"	"66.0"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GS3P"	"ENOG503GS3P"	"0.000"	"108.937"	"52"	"19"	"48"	"19"	"623"	"63.6"	"8.82"	"149.66"	"19"	"0"	"40.1"	"159.9"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GC1U"	"ENOG503GC1U"	"0.000"	"98.303"	"20"	"28"	"45"	"22"	"4128"	"468.9"	"5.16"	"111.28"	"28"	"6"	"200.0"	""	"High"	"Not Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GAU6"	"ENOG503GAU6"	"0.000"	"89.660"	"66"	"18"	"60"	"18"	"439"	"48.3"	"7.11"	"147.82"	"18"	"0"	"179.7"	"20.3"	"High"	"Peak Found"	"1"	"Met-loss [N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG503GJW4"	"ENOG503GJW4"	"0.000"	"88.625"	"37"	"24"	"38"	"24"	"933"	"94.1"	"8.90"	"115.13"	"24"	"0"	"43.4"	"156.6"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GDDU"	"ENOG503GDDU"	"0.000"	"87.881"	"27"	"20"	"38"	"20"	"3893"	"418.5"	"8.18"	"112.15"	"20"	"0"	"170.3"	"29.7"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GK7B"	"ENOG503GK7B"	"0.000"	"85.872"	"17"	"21"	"61"	"21"	"3677"	"371.8"	"9.50"	"150.67"	"21"	"0"	"107.3"	"92.7"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GCMT"	"ENOG503GCMT"	"0.000"	"81.617"	"24"	"27"	"37"	"27"	"2537"	"271.4"	"6.49"	"87.00"	"27"	"0"	"99.7"	"100.3"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503G8UA"	"ENOG503G8UA"	"0.000"	"79.031"	"15"	"26"	"47"	"26"	"4568"	"513.8"	"8.02"	"108.77"	"26"	"0"	"186.2"	"13.8"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503G9BD"	"ENOG503G9BD"	"0.000"	"73.278"	"30"	"18"	"26"	"18"	"4005"	"430.4"	"6.07"	"74.60"	"18"	"0"	"189.0"	"11.0"	"High"	"Peak Found"	"1"	"Met-loss+Acetyl [N-Term; N-Term; N-Term; N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG503GJMY"	"ENOG503GJMY"	"0.000"	"64.753"	"28"	"14"	"28"	"14"	"966"	"102.8"	"8.68"	"88.04"	"14"	"0"	"92.8"	"107.2"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GA4N"	"ENOG503GA4N"	"0.000"	"62.593"	"12"	"9"	"70"	"9"	"1209"	"130.7"	"9.10"	"173.83"	"9"	"0"	"189.0"	"11.0"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GC36"	"ENOG503GC36"	"0.000"	"60.807"	"18"	"19"	"28"	"19"	"5674"	"629.7"	"5.36"	"69.31"	"19"	"0"	"194.0"	"6.0"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GG6F"	"ENOG503GG6F"	"0.000"	"56.592"	"36"	"15"	"54"	"15"	"1048"	"113.6"	"9.33"	"126.39"	"15"	"0"	"191.2"	"8.8"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GBXP"	"ENOG503GBXP"	"0.000"	"56.048"	"30"	"16"	"31"	"16"	"1509"	"169.0"	"7.90"	"74.97"	"16"	"0"	"178.8"	"21.2"	"High"	"Peak Found"	"1"	"Met-loss+Acetyl [N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG503GEMF"	"ENOG503GEMF"	"0.000"	"54.800"	"14"	"15"	"27"	"15"	"4148"	"434.0"	"5.38"	"61.99"	"15"	"0"	"178.3"	"21.7"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503G8AG"	"ENOG503G8AG"	"0.000"	"52.903"	"25"	"12"	"38"	"12"	"1274"	"135.4"	"6.33"	"93.13"	"12"	"0"	"195.8"	"4.2"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503G8FG"	"ENOG503G8FG"	"0.000"	"48.911"	"16"	"16"	"24"	"16"	"5431"	"584.7"	"5.97"	"50.74"	"16"	"0"	"200.0"	""	"High"	"Not Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503G98Q"	"ENOG503G98Q"	"0.000"	"48.505"	"19"	"13"	"30"	"12"	"1888"	"212.6"	"4.96"	"80.94"	"13"	"2"	"198.3"	"1.7"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503G8SM"	"ENOG503G8SM"	"0.000"	"47.349"	"14"	"16"	"24"	"16"	"5581"	"627.8"	"6.18"	"39.92"	"16"	"0"	"183.3"	"16.7"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503G76P"	"ENOG503G76P"	"0.000"	"47.122"	"19"	"15"	"24"	"15"	"2478"	"276.3"	"5.38"	"51.93"	"15"	"0"	"196.9"	"3.1"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GKAZ"	"ENOG503GKAZ"	"0.000"	"46.859"	"93"	"9"	"29"	"9"	"252"	"25.9"	"6.06"	"97.80"	"9"	"0"	"76.7"	"123.3"	"High"	"Peak Found"	"1"	"Met-loss [N-Term; N-Term; N-Term]; Met-loss+Acetyl [N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG503GIHD"	"ENOG503GIHD"	"0.000"	"46.852"	"15"	"15"	"22"	"15"	"2737"	"288.8"	"4.54"	"57.57"	"15"	"0"	"51.0"	"149.0"	"High"	"Peak Found"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG503GG4I"	"ENOG503GG4I"	"0.000"	"45.455"	"8"	"16"	"22"	"16"	"6128"	"672.0"	"6.54"	"48.31"	"16"	"0"	"193.3"	"6.7"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GJBU"	"ENOG503GJBU"	"0.000"	"43.839"	"60"	"11"	"42"	"5"	"309"	"34.0"	"5.99"	"96.10"	"11"	"0"	"113.9"	"86.1"	"High"	"Peak Found"	"1"	"Met-loss+Acetyl [N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"tr"	"A0A3B5ZVX4 A0A3B5ZVX4_WHEAT"	"0.000"	"43.130"	"46"	"8"	"19"	"3"	"183"	"18.4"	"8.06"	"53.16"	"8"	"0"	"54.0"	"146.0"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GA4M"	"ENOG503GA4M"	"0.000"	"41.060"	"19"	"15"	"27"	"9"	"2137"	"244.4"	"5.07"	"63.05"	"15"	"0"	"200.0"	""	"High"	"Not Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GMMS"	"ENOG503GMMS"	"0.000"	"40.975"	"26"	"10"	"16"	"10"	"366"	"39.0"	"6.49"	"51.49"	"10"	"0"	"70.0"	"130.0"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GK7S"	"ENOG503GK7S"	"0.000"	"39.738"	"8"	"10"	"15"	"10"	"7021"	"705.0"	"9.63"	"40.12"	"10"	"0"	"172.0"	"28.0"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GIVT"	"ENOG503GIVT"	"0.000"	"39.183"	"46"	"11"	"25"	"11"	"420"	"46.7"	"7.44"	"62.69"	"11"	"0"	"44.7"	"155.3"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GBJG"	"ENOG503GBJG"	"0.000"	"38.566"	"3"	"14"	"21"	"14"	"23651"	"2535.9"	"7.53"	"45.84"	"14"	"0"	"181.5"	"18.5"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GEVR"	"ENOG503GEVR"	"0.000"	"38.245"	"4"	"13"	"19"	"13"	"10637"	"1156.6"	"6.98"	"41.39"	"13"	"0"	"200.0"	""	"High"	"Not Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GAB1"	"ENOG503GAB1"	"0.000"	"38.097"	"12"	"10"	"13"	"10"	"1610"	"177.1"	"6.93"	"35.05"	"10"	"0"	"197.2"	"2.8"	"High"	"Peak Found"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"tr"	"A0A3B5Y269 A0A3B5Y269_WHEAT"	"0.000"	"37.912"	"42"	"8"	"17"	"3"	"179"	"18.2"	"7.93"	"41.48"	"8"	"5"	"129.3"	"70.7"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GDYC"	"ENOG503GDYC"	"0.000"	"37.883"	"22"	"10"	"17"	"10"	"1956"	"211.0"	"7.96"	"39.20"	"10"	"0"	"193.8"	"6.2"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"tr"	"A0A3B5Z457 A0A3B5Z457_WHEAT"	"0.000"	"36.289"	"35"	"6"	"25"	"1"	"178"	"18.1"	"8.69"	"72.25"	"6"	"1"	"43.7"	"156.3"	"High"	"Not Found"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG503GC85"	"ENOG503GC85"	"0.000"	"35.801"	"38"	"9"	"14"	"9"	"554"	"60.4"	"8.16"	"44.28"	"9"	"0"	"54.4"	"145.6"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GIC4"	"ENOG503GIC4"	"0.000"	"35.532"	"20"	"9"	"11"	"9"	"1505"	"149.5"	"8.13"	"26.93"	"9"	"0"	"132.3"	"67.7"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GAB2"	"ENOG503GAB2"	"0.000"	"35.469"	"12"	"8"	"29"	"8"	"2920"	"321.5"	"9.01"	"84.04"	"8"	"0"	"200.0"	""	"High"	"Not Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GCTB"	"ENOG503GCTB"	"0.000"	"35.413"	"14"	"13"	"20"	"13"	"3753"	"394.1"	"7.87"	"36.72"	"13"	"0"	"162.1"	"37.9"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GJCN"	"ENOG503GJCN"	"0.000"	"35.079"	"53"	"10"	"14"	"10"	"395"	"40.9"	"8.78"	"31.77"	"10"	"0"	"200.0"	""	"High"	"Not Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG503GAGX"	"ENOG503GAGX"	"0.000"	"34.959"	"14"	"8"	"15"	"8"	"2911"	"312.2"	"7.01"	"43.72"	"8"	"0"	"198.7"	"1.3"	"High"	"Peak Found"	"1"	""
